Date	Price	Volume
06/29/2010	23.89	18766300
06/30/2010	23.83	17187100
07/01/2010	21.96	8218800
07/02/2010	19.2	5139800
07/06/2010	16.11	6866900
07/07/2010	15.8	6921700
07/08/2010	17.46	7711400
07/09/2010	17.4	4050600
07/12/2010	17.05	2202500
07/13/2010	18.14	2680100
07/14/2010	19.84	4195200
07/15/2010	19.89	3739800
07/16/2010	20.64	2621300
07/19/2010	21.91	2486500
07/20/2010	20.3	1825300
07/21/2010	20.22	1252500
07/22/2010	21.0	957800
07/23/2010	21.29	653600
07/26/2010	20.95	922200
07/27/2010	20.55	619700
07/28/2010	20.72	467200
07/29/2010	20.35	616000
07/30/2010	19.94	426900
08/02/2010	20.92	718100
08/03/2010	21.95	1230500
08/04/2010	21.26	913000
08/05/2010	20.45	796200
08/06/2010	19.59	741900
08/09/2010	19.6	812700
08/10/2010	19.03	1281300
08/11/2010	17.9	797600
08/12/2010	17.6	691000
08/13/2010	18.32	634000
08/16/2010	18.78	485800
08/17/2010	19.15	447900
08/18/2010	18.77	601300
08/19/2010	18.79	579100
08/20/2010	19.1	296000
08/23/2010	20.13	1088100
08/24/2010	19.2	673100
08/25/2010	19.9	503300
08/26/2010	19.75	433800
08/27/2010	19.7	379600
08/30/2010	19.87	732800
08/31/2010	19.48	201100
09/01/2010	20.45	494900
09/02/2010	21.06	487100
09/03/2010	21.05	434600
09/07/2010	20.54	243400
09/08/2010	20.9	288400
09/09/2010	20.71	376200
09/10/2010	20.17	386600
09/13/2010	20.72	360800
09/14/2010	21.12	654700
09/15/2010	21.98	684600
09/16/2010	20.94	2684500
09/17/2010	20.23	1198500
09/20/2010	21.06	947500
09/21/2010	20.77	796000
09/22/2010	19.87	962900
09/23/2010	19.56	668100
09/24/2010	20.1	578900
09/27/2010	20.53	418600
09/28/2010	21.4	1214500
09/29/2010	21.98	1969300
09/30/2010	20.41	2195800
10/01/2010	20.6	597700
10/04/2010	20.99	643600
10/05/2010	21.12	332000
10/06/2010	20.46	313400
10/07/2010	20.43	141000
10/08/2010	20.43	267800
10/11/2010	20.24	171200
10/12/2010	20.24	244000
10/13/2010	20.54	318200
10/14/2010	20.75	294800
10/15/2010	20.54	284700
10/18/2010	20.23	162800
10/19/2010	20.05	245200
10/20/2010	20.65	312500
10/21/2010	20.75	417100
10/22/2010	20.72	161100
10/25/2010	20.85	118500
10/26/2010	21.36	660900
10/27/2010	21.0	356500
10/28/2010	21.19	224200
10/29/2010	21.84	280600
11/01/2010	21.41	455800
11/02/2010	21.25	322500
11/03/2010	21.77	372600
11/04/2010	24.9	1874000
11/05/2010	24.44	1011000
11/08/2010	24.98	509500
11/09/2010	24.63	956400
11/10/2010	29.36	3060500
11/11/2010	28.04	1945300
11/12/2010	29.84	2729100
11/15/2010	30.8	2622900
11/16/2010	29.67	1347600
11/17/2010	29.49	750000
11/18/2010	29.89	956100
11/19/2010	30.99	1150500
11/22/2010	33.4	1529700
11/23/2010	34.57	1577800
11/24/2010	35.47	1425000
11/26/2010	35.32	350600
11/29/2010	34.33	1145600
11/30/2010	35.33	2222600
12/01/2010	34.35	1299200
12/02/2010	32.35	2007000
12/03/2010	31.49	1160100
12/06/2010	30.31	1274400
12/07/2010	31.56	1311300
12/08/2010	32.37	660000
12/09/2010	32.05	406000
12/10/2010	31.52	429400
12/13/2010	30.55	410400
12/14/2010	28.53	1765700
12/15/2010	29.6	742900
12/16/2010	30.81	790100
12/17/2010	31.36	813000
12/20/2010	31.7	523400
12/21/2010	32.26	777700
12/22/2010	32.63	833300
12/23/2010	30.09	1552600
12/27/2010	25.55	9301900
12/28/2010	26.41	4056300
12/29/2010	27.73	3319200
12/30/2010	26.5	2041100
12/31/2010	26.63	1417900
01/03/2011	26.62	1283000
01/04/2011	26.67	1187400
01/05/2011	26.83	1446700
01/06/2011	27.88	2061200
01/07/2011	28.24	2247900
01/10/2011	28.45	1342700
01/11/2011	26.96	1710200
01/12/2011	26.96	964400
01/13/2011	26.22	723600
01/14/2011	25.75	1192000
01/18/2011	25.64	1621700
01/19/2011	24.03	2371500
01/20/2011	22.62	2279900
01/21/2011	23.04	1217000
01/24/2011	24.49	1645100
01/25/2011	24.68	1271500
01/26/2011	24.75	1079900
01/27/2011	24.92	895700
01/28/2011	24.01	1048400
01/31/2011	24.1	830300
02/01/2011	23.91	707800
02/02/2011	23.94	569500
02/03/2011	23.63	512000
02/04/2011	23.46	544000
02/07/2011	23.07	895100
02/08/2011	24.49	3504900
02/09/2011	23.21	2635600
02/10/2011	23.22	836100
02/11/2011	23.25	634500
02/14/2011	23.08	1283100
02/15/2011	22.84	953700
02/16/2011	24.73	4115100
02/17/2011	23.6	2618400
02/18/2011	23.18	2370700
02/22/2011	21.87	2064600
02/23/2011	21.83	1605600
02/24/2011	22.53	1055300
02/25/2011	23.61	1346300
02/28/2011	23.89	1051200
03/01/2011	23.94	1106400
03/02/2011	24.02	663300
03/03/2011	24.36	640200
03/04/2011	24.95	1580100
03/07/2011	24.94	2033600
03/08/2011	24.66	1399900
03/09/2011	24.72	924800
03/10/2011	24.01	1017000
03/11/2011	24.07	930800
03/14/2011	23.25	1166000
03/15/2011	22.95	1318800
03/16/2011	22.82	1169700
03/17/2011	22.81	922600
03/18/2011	22.96	687900
03/21/2011	22.73	411700
03/22/2011	22.19	582900
03/23/2011	22.21	422800
03/24/2011	22.33	462200
03/25/2011	22.75	568000
03/28/2011	23.25	1058100
03/29/2011	23.92	755400
03/30/2011	23.71	1223300
03/31/2011	27.75	11517800
04/01/2011	26.66	2864800
04/04/2011	25.83	2609300
04/05/2011	26.7	3180900
04/06/2011	26.49	1288300
04/07/2011	27.24	2810300
04/08/2011	26.49	1946400
04/11/2011	25.27	1369400
04/12/2011	24.65	1357400
04/13/2011	24.93	1211500
04/14/2011	25.14	983400
04/15/2011	25.58	943500
04/18/2011	25.03	1033900
04/19/2011	25.16	548700
04/20/2011	25.75	837200
04/21/2011	26.74	1386100
04/25/2011	26.39	800900
04/26/2011	26.93	1400000
04/27/2011	27.08	996900
04/28/2011	27.66	1600000
04/29/2011	27.6	726000
05/02/2011	27.45	784600
05/03/2011	26.87	913900
05/04/2011	26.69	1044500
05/05/2011	26.44	1218500
05/06/2011	27.12	981700
05/09/2011	27.91	916400
05/10/2011	28.33	1535300
05/11/2011	27.07	962500
05/12/2011	27.67	628000
05/13/2011	27.55	661500
05/16/2011	26.6	755700
05/17/2011	25.96	1234200
05/18/2011	26.35	729500
05/19/2011	28.2	2655100
05/20/2011	27.97	842500
05/23/2011	26.82	863600
05/24/2011	26.72	613700
05/25/2011	28.98	4693100
05/26/2011	29.48	3336900
05/27/2011	29.55	1687100
05/31/2011	30.14	3290500
06/01/2011	28.52	1529900
06/02/2011	28.76	986300
06/03/2011	30.13	6209200
06/06/2011	28.7	2331100
06/07/2011	28.37	1222100
06/08/2011	27.12	1695900
06/09/2011	27.62	1603200
06/10/2011	27.86	1566600
06/13/2011	28.43	1713400
06/14/2011	28.6	1573400
06/15/2011	27.32	1345000
06/16/2011	26.5	1842200
06/17/2011	26.5	1714000
06/20/2011	26.01	1537800
06/21/2011	27.53	1496000
06/22/2011	27.21	1475600
06/23/2011	27.71	1170000
06/24/2011	27.57	3608500
06/27/2011	27.46	1809400
06/28/2011	28.11	889200
06/29/2011	28.29	1461800
06/30/2011	29.13	946700
07/01/2011	29.02	854900
07/05/2011	29.14	996000
07/06/2011	28.96	926900
07/07/2011	29.73	1327900
07/08/2011	28.81	1240600
07/11/2011	28.35	975800
07/12/2011	28.17	1045400
07/13/2011	28.64	1066000
07/14/2011	27.61	1159000
07/15/2011	27.58	709000
07/18/2011	27.23	851900
07/19/2011	27.89	1026100
07/20/2011	28.69	3048300
07/21/2011	28.7	1011500
07/22/2011	29.29	583500
07/25/2011	28.49	673300
07/26/2011	28.0	760600
07/27/2011	27.64	958500
07/28/2011	28.17	938700
07/29/2011	28.17	948200
08/01/2011	28.77	1164900
08/02/2011	27.34	1549400
08/03/2011	27.2	1794500
08/04/2011	24.75	3064500
08/05/2011	24.24	1964400
08/08/2011	23.64	2608500
08/09/2011	25.06	1333400
08/10/2011	23.82	1564200
08/11/2011	25.3	836500
08/12/2011	26.31	1009100
08/15/2011	26.23	738600
08/16/2011	26.1	537700
08/17/2011	25.83	643700
08/18/2011	24.26	1056600
08/19/2011	22.3	1375300
08/22/2011	21.95	986100
08/23/2011	22.96	869000
08/24/2011	23.87	684300
08/25/2011	23.11	679800
08/26/2011	23.73	761800
08/29/2011	24.71	803400
